CardNo,Location,Designation,TACategory,dob,Age,Basic
0908,Noida,Manager,VI,05-09-1980,40.00,0.56
0923,Noida,Senior Manager,V,08-06-1982,38.00,0.54
0952,Site,Deputy Manager,VII,20-10-1980,40.00,0.43
0955,Noida,CHECKER I,VIII,25-07-1979,41.00,0.27
0958,Noida,Assistant Manager,VII,26-08-1974,46.00,0.38
0965,Noida,Deputy Manager,VII,02-12-1975,45.00,0.48
0975,Site,Assistant General Manager,V,19-08-1958,62.00,0.64
0980,Noida,CHECKER I,VIII,05-02-1981,39.00,0.27
0985,Noida,Engineer-II,IX,10-05-1977,43.00,0.24
0987,Noida,Assistant Manager,VIII,10-02-1979,41.00,0.38
0988,Noida,Senior Engineer,VIII,25-05-1980,40.00,0.32
0990,Noida,Engineer-II,VIII,06-04-1983,37.00,0.25
2093,Noida,Assistant General Manager,V,28-11-1965,55.00,0.68
0996,Noida,Assistant Officer,IX,14-06-1974,46.00,0.26
1006,Noida,Assistant Design Controller,VII,17-09-1978,42.00,0.34
1008,Noida,Officer-III,IX,01-07-1968,52.00,0.26
0555,Noida,Vice President,IIIB,27-07-1970,50.00,1.27
1013,Noida,Senior Engineer,VIII,01-06-1978,42.00,0.29
1027,Noida,Assistant Design Controller,VIII,31-07-1974,46.00,0.31
1032,Noida,Senior Engineer,VIII,15-01-1981,39.00,0.30
1042,Noida,Deputy Manager,VII,31-05-1982,38.00,0.34
1046,Noida,Engineer-II,IX,10-09-1984,36.00,0.24
1051,Site,Assistant Manager,VII,24-06-1975,45.00,0.40
1057,Chennai,Assistant Manager,VIII,09-05-1985,35.00,0.36
1059,Noida,Manager,VI,01-04-1983,37.00,0.47
1071,Noida,Manager,VI,24-08-1982,38.00,0.51
1100,Site,Assistant Manager,VIII,15-09-1969,51.00,0.33
1101,Noida,Deputy General Manager,IV,15-07-1973,47.00,0.84
1103,Noida,Assistant General Manager,V,05-11-1974,46.00,0.76
1119,Chennai,Assistant General Manager,V,20-07-1977,43.00,0.70
1123,Site,Deputy Manager,VII,13-12-1983,37.00,0.46
1134,Chennai,CHECKER I,VIII,26-08-1983,37.00,0.29
1136,Chennai,Assistant Manager,VII,09-03-1974,46.00,0.41
1138,Noida,Manager,VI,01-06-1976,44.00,0.52
1141,Chennai,Senior Engineer,VIII,20-07-1980,40.00,0.31
1142,Noida,Deputy Manager,VII,01-09-1984,36.00,0.46
1143,Site,Assistant Manager,VIII,10-12-1970,50.00,0.37
1147,Chennai,Manager,VII,19-06-1974,46.00,0.52
0340,Noida,Assistant General Manager,V,04-06-1971,49.00,0.66
1162,Noida,Deputy General Manager,V,18-07-1980,40.00,0.75
1166,Noida,Manager,VII,16-06-1978,42.00,0.58
1170,Chennai,Manager,VII,19-08-1983,37.00,0.58
1175,Chennai,Assistant Manager,VII,14-02-1972,48.00,0.37
1178,Noida,Assistant Manager,VIII,11-12-1974,46.00,0.31
1180,Site,Senior Engineer,VIII,15-02-1983,37.00,0.33
1184,Site,Assistant Engineer,IX,10-10-1985,35.00,0.19
1186,Noida,Engineer-II,IX,15-01-1976,44.00,0.21
1201,Noida,Deputy Manager,VII,29-01-1983,37.00,0.44
1202,Chennai,CHECKER I,VIII,03-03-1983,37.00,0.28
1204,Noida,Manager,VII,03-11-1978,42.00,0.59
1206,Noida,Senior Manager,V,01-04-1983,37.00,0.61
1211,Noida,Manager,VII,10-09-1981,39.00,0.53
1215,Noida,Senior Engineer,VIII,13-07-1983,37.00,0.31
1216,Site,Deputy Manager,VII,18-06-1985,35.00,0.45
1217,Noida,Deputy Manager,VII,20-05-1985,35.00,0.51
1227,Noida,Deputy Manager,VII,01-05-1970,50.00,0.45
1228,Noida,Senior Officer,VIII,09-10-1985,35.00,0.34
1233,Noida,Assistant Manager,VIII,12-05-1984,36.00,0.35
0591,Noida,Deputy General Manager,V,10-02-1964,56.00,0.68
2966,Noida,Senior Manager,V,16-02-1967,53.00,0.66
2883,Noida,Associate Vice President,IV,07-06-1969,51.00,1.26
1248,Chennai,Senior Engineer,VIII,07-03-1980,40.00,0.32
1258,Noida,Manager,VII,12-04-1983,37.00,0.50
1263,Chennai,Engineer-II,IX,23-01-1983,37.00,0.23
1271,Site,Senior Engineer,VIII,05-01-1982,38.00,0.32
1273,Chennai,Assistant Manager,VII,23-07-1981,39.00,0.38
1278,Noida,Senior Manager,V,15-07-1969,51.00,0.60
1279,Site,Deputy Manager,VII,04-05-1981,39.00,0.40
0995,Noida,Senior Manager,V,09-07-1967,53.00,0.66
1282,Chennai,Senior Manager,VII,07-06-1981,39.00,0.58
1285,Noida,Deputy Manager,VII,31-07-1984,36.00,0.41
1293,Noida,Junior Engineer,IX,04-01-1986,34.00,0.16
1295,Noida,Junior Engineer,IX,03-01-1988,32.00,0.15
1296,Noida,Assistant Engineer,IX,09-09-1988,32.00,0.18
1298,Noida,Assistant Engineer,IX,16-07-1984,36.00,0.18
1299,Noida,Design Associate I,IX,17-02-1986,34.00,0.16
1300,Chennai,Engineer-II,VIII,01-11-1982,38.00,0.26
1243,Chennai,Vice President,IIIB,18-06-1972,48.00,1.26
1305,Noida,Senior Manager,V,09-07-1980,40.00,0.60
1308,Chennai,CHECKER I,IX,13-06-1985,35.00,0.25
1309,Chennai,Deputy Manager,VII,13-04-1980,40.00,0.43
1310,Chennai,Engineer-II,IX,09-11-1981,39.00,0.26
1314,Noida,Deputy Manager,VII,30-05-1985,35.00,0.52
1327,Chennai,Assistant Manager,VII,16-12-1975,45.00,0.38
2442,Noida,Senior Manager,VI,30-08-1962,58.00,0.66
1330,Noida,Deputy Manager,VII,11-09-1985,35.00,0.45
1332,Noida,Deputy General Manager,V,15-12-1970,50.00,0.81
1333,Noida,Manager,VI,10-01-1984,36.00,0.50
1334,Noida,Deputy Manager,VII,21-01-1983,37.00,0.42
1338,Noida,Senior Manager,V,01-01-1979,41.00,0.53
1340,Noida,Deputy Manager,VII,19-07-1984,36.00,0.49
1344,Noida,Assistant Engineer,IX,05-10-1981,39.00,0.21
1353,Chennai,Deputy Manager,VII,10-05-1984,36.00,0.43
1558,Site,Deputy General Manager,V,17-06-1963,57.00,0.65
1360,Noida,Assistant General Manager,VI,26-09-1982,38.00,0.62
1361,Chennai,Assistant Manager,VII,30-07-1978,42.00,0.38
1369,Noida,Deputy Manager,VII,23-05-1979,41.00,0.45
1387,Noida,Manager,VII,21-05-1983,37.00,0.49
1394,Noida,Vice President,IIIB,20-05-1972,48.00,1.25
1403,Noida,Assistant Manager,VIII,06-01-1988,32.00,0.36
1412,Noida,Assistant Manager,VII,07-07-1981,39.00,0.37
3651,Noida,Senior Manager,V,26-06-1966,54.00,0.64
2649,Site,Manager,VI,15-04-1965,55.00,0.63
1418,Site,Deputy Manager,VII,26-08-1983,37.00,0.48
1422,Chennai,Deputy Manager,VII,06-07-1983,37.00,0.46
1562,Noida,Associate Vice President,IIIB,25-08-1969,51.00,1.23
1438,Chennai,Manager,VII,02-06-1980,40.00,0.52
1449,Chennai,Senior Manager,VII,02-03-1979,41.00,0.51
1453,Noida,Assistant Manager,VII,01-08-1983,37.00,0.36
1459,Site,Deputy Manager,VII,22-06-1975,45.00,0.37
1469,Noida,Assistant Manager,VII,27-08-1983,37.00,0.42
0903,Noida,Senior Manager,V,16-02-1963,57.00,0.62
1480,Noida,Manager,VI,21-05-1980,40.00,0.48
1483,Noida,Assistant Manager,VII,11-03-1985,35.00,0.36
1500,Noida,Assistant Manager,VIII,10-09-1987,33.00,0.35
1503,Chennai,Deputy Manager,VII,13-10-1979,41.00,0.44
1505,Site,Deputy Manager,VII,02-07-1981,39.00,0.44
1509,Noida,Senior Manager,V,08-04-1980,40.00,0.55
2051,Noida,Associate Vice President,IIIB,05-07-1971,49.00,1.22
1511,Noida,Manager,VII,01-01-1982,38.00,0.59
1512,Noida,Junior Engineer,IX,18-10-1982,38.00,0.19
1517,Site,Deputy Manager,VII,01-03-1984,36.00,0.45
1532,Noida,General Manager,IV,12-05-1970,50.00,0.85
1534,Chennai,Deputy Manager,VII,28-03-1980,40.00,0.45
1535,Site,Deputy Manager,VII,22-05-1984,36.00,0.44
1536,Noida,Deputy Manager,VII,11-06-1980,40.00,0.42
1538,Noida,Senior Manager,V,24-06-1977,43.00,0.60
1542,Site,Manager,VII,15-01-1983,37.00,0.48
1544,Site,Engineer-II,IX,18-04-1987,33.00,0.28
1549,Site,Assistant Manager,VIII,03-04-1985,35.00,0.37
1552,Noida,Design Associate I,IX,04-12-1988,32.00,0.17
1553,Noida,Design Associate I,IX,12-10-1987,33.00,0.17
1556,Chennai,Senior Manager,V,17-01-1977,43.00,0.52
1557,Noida,Deputy Manager,VII,09-02-1984,36.00,0.44
1695,Noida,Senior Manager,V,15-11-1965,55.00,0.62
1560,Noida,General Manager,IV,02-10-1973,47.00,0.88
2236,Noida,Vice President,IIIB,03-10-1972,48.00,1.21
1577,Noida,Deputy Manager,VII,14-12-1980,40.00,0.47
1580,Site,Assistant Manager,VII,15-04-1984,36.00,0.39
1581,Chennai,CHECKER I,VIII,28-12-1982,38.00,0.25
1582,Noida,Assistant Engineer,IX,10-12-1978,42.00,0.19
1589,Noida,Engineer-II,VIII,01-03-1976,44.00,0.25
1590,Noida,Design Associate I,IX,15-05-1988,32.00,0.16
1593,Noida,Deputy Manager,VII,06-10-1985,35.00,0.41
1600,Site,Deputy Manager,VII,15-08-1969,51.00,0.38
1613,Site,Deputy Manager,VII,28-03-1975,45.00,0.40
1615,Noida,Senior Manager,V,05-10-1981,39.00,0.63
0082,Noida,Senior Manager,V,02-01-1963,57.00,0.61
1620,Noida,Deputy Manager,VII,17-05-1985,35.00,0.47
1624,Noida,Assistant Manager,VII,27-09-1985,35.00,0.35
1628,Noida,Deputy Manager,VII,01-07-1983,37.00,0.44
1629,Pune,Assistant Manager,VII,01-06-1975,45.00,0.39
1640,Noida,Assistant Manager,VII,01-03-1986,34.00,0.38
1652,Site,Assistant Engineer,IX,05-02-1991,29.00,0.18
1654,Site,Engineer-II,IX,21-12-1991,29.00,0.20
1660,Noida,Senior Manager,V,08-11-1982,38.00,0.53
1661,Pune,CHECKER I,VIII,03-10-1980,40.00,0.26
1669,Noida,Junior Engineer,IX,10-04-1985,35.00,0.15
1670,Noida,Design Associate I,IX,08-03-1990,30.00,0.15
1671,Noida,Design Associate I,IX,13-12-1989,31.00,0.16
1672,Noida,Junior Engineer,IX,28-01-1991,29.00,0.14
1674,Noida,Junior Engineer,IX,08-03-1986,34.00,0.14
1688,Noida,Assistant Manager,VII,16-10-1987,33.00,0.34
0123,Noida,Senior Manager,V,13-03-1960,60.00,0.61
1698,Noida,Assistant Manager,VII,14-07-1981,39.00,0.41
1703,Pune,Deputy Design Controller,VII,15-04-1978,42.00,0.43
1707,Noida,Deputy Manager,VII,18-08-1983,37.00,0.38
1708,Noida,Deputy General Manager,IV,01-07-1971,49.00,0.71
2127,Site,Senior Manager,V,13-01-1967,53.00,0.60
1713,Noida,Assistant Manager,VIII,05-12-1986,34.00,0.36
1716,Noida,Manager,VII,20-11-1981,39.00,0.64
1728,Noida,Engineer-II,VIII,10-01-1970,50.00,0.24
1730,Site,Manager,VII,14-06-1977,43.00,0.54
1731,Noida,Assistant General Manager,VI,01-08-1982,38.00,0.60
1733,Noida,Assistant Manager,VIII,16-10-1977,43.00,0.41
1741,Noida,Assistant Manager,VII,26-02-1988,32.00,0.37
1742,Noida,Deputy General Manager,IV,10-04-1971,49.00,0.89
1743,Site,Assistant Manager,VIII,06-05-1983,37.00,0.37
1745,Site,Assistant Manager,VII,03-05-1984,36.00,0.34
1749,Site,Deputy Manager,VII,28-11-1980,40.00,0.48
1750,Noida,Assistant Engineer,IX,08-04-1984,36.00,0.21
1752,Noida,Assistant General Manager,V,27-02-1977,43.00,0.72
1758,Noida,Deputy Manager,VII,27-08-1978,42.00,0.44
1759,Pune,Assistant Design Controller,VII,14-06-1976,44.00,0.33
1416,Site,Senior Manager,V,06-08-1964,56.00,0.60
3044,Noida,Vice President,IIIA,01-08-1961,59.00,1.25
1766,Site,Deputy Manager,VII,09-12-1981,39.00,0.41
1775,Noida,Deputy Manager,VII,27-02-1977,43.00,0.36
1780,Site,Assistant Manager,VII,22-04-1975,45.00,0.36
1782,Site,Senior Engineer,VIII,25-05-1987,33.00,0.32
1788,Noida,Senior Manager,VII,13-01-1974,46.00,0.55
1789,Noida,Assistant Manager,VII,13-04-1984,36.00,0.42
1801,Noida,Manager,VII,03-07-1979,41.00,0.50
1805,Noida,Manager,VII,03-11-1973,47.00,0.56
1806,Noida,Assistant Manager,VIII,09-02-1987,33.00,0.36
1811,Noida,Deputy Manager,VII,01-04-1983,37.00,0.47
1812,Noida,Senior Engineer,VIII,26-11-1983,37.00,0.30
1816,Site,Senior Engineer,VIII,24-07-1985,35.00,0.33
1818,Noida,Associate Vice President,IV,16-12-1975,45.00,1.02
1822,Noida,Officer-III,IX,12-12-1981,39.00,0.28
1824,Noida,Deputy Manager,VII,25-05-1986,34.00,0.42
1825,Chennai,Senior Officer,VIII,31-07-1968,52.00,0.42
1826,Noida,Assistant Manager,VIII,17-09-1982,38.00,0.32
1832,Noida,Assistant General Manager,V,28-03-1980,40.00,0.63
1833,Noida,Senior Manager,VI,22-08-1955,65.00,0.55
1837,Noida,Officer-I,VIII,21-06-1975,45.00,0.30
1838,Noida,Assistant Manager,VII,09-04-1987,33.00,0.34
1841,Noida,Deputy Manager,VII,22-10-1979,41.00,0.51
1844,Chennai,Engineer-II,IX,07-10-1985,35.00,0.21
2500,Noida,Assistant General Manager,V,01-06-1964,56.00,0.59
1849,Noida,Manager,VII,15-08-1982,38.00,0.52
1851,Site,Deputy Manager,VII,06-06-1984,36.00,0.46
1856,Noida,Senior Manager,V,21-12-1979,41.00,0.61
1857,Noida,Deputy Manager,VII,03-04-1985,35.00,0.43
1871,Chennai,Assistant General Manager,V,19-07-1978,42.00,0.72
1873,Noida,Assistant Manager,VII,08-01-1986,34.00,0.35
1874,Pune,Manager,VII,30-07-1977,43.00,0.53
1881,Site,Assistant Manager,VII,02-07-1980,40.00,0.35
1885,Noida,Manager,VII,09-04-1980,40.00,0.49
1886,Noida,General Manager,IV,11-09-1968,52.00,1.04
1896,Site,Assistant Manager,VIII,02-04-1977,43.00,0.42
1897,Noida,Manager,VI,15-07-1983,37.00,0.59
1280,Noida,Senior Manager,V,15-05-1965,55.00,0.58
1906,Site,Engineer-II,IX,01-01-1984,36.00,0.24
1909,Noida,Senior Engineer,VIII,28-11-1987,33.00,0.31
1910,Noida,Assistant Manager,VIII,26-01-1984,36.00,0.39
1912,Site,Assistant Manager,VIII,15-12-1986,34.00,0.34
1913,Chennai,CHECKER I,VIII,15-06-1981,39.00,0.27
1917,Noida,Deputy Manager,VII,10-03-1979,41.00,0.53
1924,Noida,Engineer-II,VIII,06-07-1988,32.00,0.26
1927,Noida,Senior Manager,VI,30-06-1979,41.00,0.61
1932,Noida,Design Associate I,IX,05-01-1984,36.00,0.19
1935,Pune,Associate Vice President,IV,15-03-1973,47.00,0.89
1939,Noida,Senior Manager,V,01-06-1974,46.00,0.53
1942,Noida,Deputy Manager,VII,06-08-1980,40.00,0.43
1946,Chennai,Senior Engineer,VIII,06-06-1988,32.00,0.33
1972,Noida,Senior Engineer,VIII,21-05-1985,35.00,0.34
1974,Noida,Deputy Manager,VII,06-01-1986,34.00,0.43
1975,Chennai,Manager,VII,22-08-1981,39.00,0.56
1976,Kolkata,Deputy General Manager,IV,01-01-1973,47.00,0.78
1978,Noida,Senior Officer,VIII,24-09-1977,43.00,0.36
1981,Noida,Design Associate IV,IX,01-09-1991,29.00,0.12
1982,Noida,Design Associate III,IX,03-03-1990,30.00,0.13
1983,Noida,Design Associate II,IX,20-12-1991,29.00,0.12
1988,Noida,Design Associate II,IX,19-10-1991,29.00,0.14
1989,Noida,Design Associate III,IX,29-01-1992,28.00,0.13
1990,Noida,Design Associate IV,IX,14-10-1990,30.00,0.12
1994,Noida,Deputy Manager,VIII,19-07-1986,34.00,0.37
1995,Noida,Assistant Design Controller,VIII,12-03-1982,38.00,0.32
2008,Noida,Assistant Manager,VIII,15-11-1985,35.00,0.32
2010,Noida,Design Associate III,IX,23-09-1989,31.00,0.12
2013,Noida,Assistant Manager,VIII,02-01-1986,34.00,0.34
2017,Noida,Deputy Manager,VII,06-01-1984,36.00,0.44
2023,Noida,Manager,VI,14-12-1983,37.00,0.51
2027,Noida,Deputy Manager,VII,05-12-1975,45.00,0.39
2028,Noida,Assistant Manager,VIII,24-07-1979,41.00,0.40
2030,Noida,Assistant General Manager,V,24-08-1978,42.00,0.68
2035,Pune,Engineer-II,VIII,03-04-1986,34.00,0.23
2038,Noida,Manager,VII,24-04-1981,39.00,0.56
2043,Noida,Executive I,VII,10-07-1976,44.00,0.40
2047,Noida,General Manager,IV,07-12-1971,49.00,0.97
0400,Noida,Associate Vice President,III,01-01-1972,48.00,1.17
2059,Site,Assistant Engineer,IX,20-05-1986,34.00,0.24
2064,Noida,Executive I,VIII,14-08-1982,38.00,0.32
2067,Site,Senior Engineer,VIII,01-07-1974,46.00,0.31
2068,Pune,Manager,VI,15-02-1980,40.00,0.51
2073,Chennai,Senior Engineer,VIII,23-05-1989,31.00,0.27
2075,Noida,Deputy General Manager,V,05-12-1970,50.00,0.73
2079,Noida,Senior Engineer,VIII,05-04-1985,35.00,0.28
2080,Noida,Design Associate I,IX,11-03-1985,35.00,0.21
2081,Noida,Assistant Engineer,IX,07-03-1988,32.00,0.21
2090,Noida,Assistant Design Controller,VIII,01-05-1968,52.00,0.39
0335,Noida,Senior Manager,VI,17-10-1973,47.00,0.57
2094,Noida,Manager,VII,05-09-1982,38.00,0.46
2095,Noida,Senior Manager,V,30-06-1976,44.00,0.63
2098,Pune,Assistant Design Controller,VIII,01-01-1976,44.00,0.33
2102,Noida,Manager,VII,27-08-1977,43.00,0.59
2103,Site,Assistant Manager,VII,11-06-1971,49.00,0.42
2108,Site,Engineer-II,IX,08-09-1980,40.00,0.26
0309,Site,Senior Manager,VI,10-12-1966,54.00,0.57
2111,Noida,Assistant General Manager,V,24-06-1978,42.00,0.62
2112,Noida,Deputy General Manager,V,25-01-1970,50.00,0.80
2113,Noida,Senior Manager,VII,19-01-1982,38.00,0.56
2114,Site,Senior Engineer,VIII,01-08-1987,33.00,0.34
2117,Noida,Deputy General Manager,V,16-02-1969,51.00,0.85
2122,Noida,Officer-I,VIII,16-06-1969,51.00,0.25
2769,Site,Manager,VI,28-01-1967,53.00,0.56
2128,Pune,Assistant Manager,VIII,09-12-1985,35.00,0.33
2129,Noida,Senior Manager,VI,15-07-1978,42.00,0.59
2130,Site,Assistant Engineer,IX,28-08-1985,35.00,0.24
2131,Site,Manager,VI,05-06-1971,49.00,0.55
2132,Site,Engineer-II,VIII,10-05-1987,33.00,0.20
2135,Noida,Manager,VII,31-07-1973,47.00,0.55
2139,Chennai,Senior Engineer,VIII,25-04-1985,35.00,0.30
2142,Noida,Deputy Manager,VII,01-08-1984,36.00,0.49
2146,Pune,Senior Manager,V,27-06-1973,47.00,0.64
2147,Noida,Senior Officer,VIII,22-05-1982,38.00,0.33
