Training Run No	 Input 1 	Input 2	Weights	Calculation of Output	Output	Desired Output
52	0	0	Weights- 2.164115412278034 2.4594712990280136 -4.0186051266208365 	w.x + b = -4.0186051266208365 	0	
53	1	1	Weights- 2.164115412278034 2.4594712990280136 -4.036265649827278 	w.x + b = 0.5873210614787698 	1	
54	1	0	Weights- 2.5213651752749353 2.8167210620249152 -3.679015886830377 	w.x + b = -1.1576507115554415 	0	
55	0	1	Weights- 2.2822707501182102 2.8167210620249152 -3.918110311987102 	w.x + b = -1.1013892499621867 	0	
56	0	0	Weights- 2.2822707501182102 2.567241380706974 -4.167589993305043 	w.x + b = -4.167589993305043 	0	
57	1	1	Weights- 2.2822707501182102 2.567241380706974 -4.182843272041088 	w.x + b = 0.6666688587840959 	1	
58	1	0	Weights- 2.621513889973245 2.906484520562009 -3.8436001321860536 	w.x + b = -1.2220862422128085 	0	
59	0	1	Weights- 2.393944370877794 2.906484520562009 -4.0711696512815045 	w.x + b = -1.1646851307194956 	0	
60	0	0	Weights- 2.393944370877794 2.6686675054690507 -4.308986666374462 	w.x + b = -4.308986666374462 	0	
61	1	1	Weights- 2.393944370877794 2.6686675054690507 -4.322255408515512 	w.x + b = 0.7403564678313321 	1	
62	1	0	Weights- 2.7168705698578535 2.99159370444911 -3.999329209535453 	w.x + b = -1.2824586396775994 	0	
63	0	1	Weights- 2.4997385705053032 2.99159370444911 -4.216461208888004 	w.x + b = -1.2248675044388935 	0	
64	0	0	Weights- 2.4997385705053032 2.764512709699663 -4.443542203637451 	w.x + b = -4.443542203637451 	0	
65	1	1	Weights- 2.4997385705053032 2.764512709699663 -4.455159875681062 	w.x + b = 0.8090914045239046 	1	
66	1	0	Weights- 2.8078227161801372 3.072596855374497 -4.147075730006228 	w.x + b = -1.3392530138260907 	0	
67	0	1	Weights- 2.6001897891781685 3.072596855374497 -4.354708657008197 	w.x + b = -1.2821118016336999 	0	
68	0	0	Weights- 2.6001897891781685 2.855405892732015 -4.5718996196506785 	w.x + b = -4.5718996196506785 	0	
69	1	1	Weights- 2.6001897891781685 2.855405892732015 -4.582132135024962 	w.x + b = 0.8734635468852217 	1	
70	1	0	Weights- 2.8947239105513733 3.14994001410522 -4.287598013651758 	w.x + b = -1.3928741031003846 	0	
71	0	1	Weights- 2.6957745915147675 3.14994001410522 -4.486547332688364 	w.x + b = -1.3366073185831437 	0	
72	0	0	Weights- 2.6957745915147675 2.9418714766708067 -4.694615870122777 	w.x + b = -4.694615870122777 	0	
73	1	1	Weights- 2.6957745915147675 2.9418714766708067 -4.703677387493332 	w.x + b = 0.9339686806922423 	1	
74	1	0	Weights- 2.9778948408532755 3.2239917260093147 -4.421557138154824 	w.x + b = -1.443662297301549 	0	
75	0	1	Weights- 2.7869159794397493 3.2239917260093147 -4.612535999568351 	w.x + b = -1.3885442735590363 	0	
76	0	0	Weights- 2.7869159794397493 3.0243514690307336 -4.812176256546932 	w.x + b = -4.812176256546932 	0	
77	1	1	Weights- 2.7869159794397493 3.0243514690307336 -4.820240837462612 	w.x + b = 0.9910266110078707 	1	
78	1	0	Weights- 3.0576253298903304 3.2950608194813147 -4.549531487012031 	w.x + b = -1.4919061571217003 	0	
79	0	1	Weights- 2.8739895338609656 3.2950608194813147 -4.733167283041396 	w.x + b = -1.4381064635600809 	0	
80	0	0	Weights- 2.8739895338609656 3.1032220746796235 -4.925006027843087 	w.x + b = -4.925006027843087 	0	
81	1	1	Weights- 2.8739895338609656 3.1032220746796235 -4.932216344106702 	w.x + b = 1.0449952644338873 	1	
82	1	0	Weights- 3.1341768387387536 3.3634093795574116 -4.672029039228914 	w.x + b = -1.53785220049016 	0	
83	0	1	Weights- 2.957329120171074 3.3634093795574116 -4.848876757796593 	w.x + b = -1.4854673782391816 	0	
84	0	0	Weights- 2.957329120171074 3.1788063555227715 -5.033479781831233 	w.x + b = -5.033479781831233 	0	
85	1	1	Weights- 2.957329120171074 3.1788063555227715 -5.039953693676341 	w.x + b = 1.0961817820175046 	1	
86	1	0	Weights- 3.2077851170194274 3.4292623523711248 -4.789497696827987 	w.x + b = -1.5817125798085598 	0	
87	0	1	Weights- 3.0372320413345153 3.4292623523711248 -4.960050772512899 	w.x + b = -1.530788420141774 	0	
88	0	0	Weights- 3.0372320413345153 3.2513839925758097 -5.137929132308214 	w.x + b = -5.137929132308214 	0	
89	1	1	Weights- 3.0372320413345153 3.2513839925758097 -5.1437647112185365 	w.x + b = 1.144851322691788 	1	
90	1	0	Weights- 3.278662807461133 3.492814758702427 -4.902333945091919 	w.x + b = -1.6236711376307862 	0	
91	0	1	Weights- 3.1139636099354058 3.492814758702427 -5.067033142617646 	w.x + b = -1.5742183839152188 	0	
92	0	0	Weights- 3.1139636099354058 3.321198899689458 -5.238649001630615 	w.x + b = -5.238649001630615 	0	
93	1	1	Weights- 3.1139636099354058 3.321198899689458 -5.243928403926466 	w.x + b = 1.1912341056983973 	1	
94	1	0	Weights- 3.347001899546024 3.5542371893000757 -5.010890114315848 	w.x + b = -1.6638882147698242 	0	
95	0	1	Weights- 3.187761158934098 3.5542371893000757 -5.170130854927774 	w.x + b = -1.6158936656276985 	0	
96	0	0	Weights- 3.187761158934098 3.388465226584751 -5.335902817643099 	w.x + b = -5.335902817643099 	0	
97	1	1	Weights- 3.187761158934098 3.388465226584751 -5.340695299731391 	w.x + b = 1.235531085787458 	1	
98	1	0	Weights- 3.4129759816867065 3.6136800493373595 -5.1154804769787825 	w.x + b = -1.702504495292076 	0	
99	0	1	Weights- 3.258837535085252 3.6136800493373595 -5.2696189235802375 	w.x + b = -1.655938874242878 	0	
100	0	0	Weights- 3.258837535085252 3.453372141020641 -5.429926831896956 	w.x + b = -5.429926831896956 	0	
101	1	1	Weights- 3.258837535085252 3.453372141020641 -5.434291117930677 	w.x + b = 1.277918558175216 	1	
102	1	0	Weights- 3.476742274402914 3.671276880338303 -5.216386378613015 	w.x + b = -1.7396441042101007 	0	
103	0	1	Weights- 3.3273841288512354 3.671276880338303 -5.365744524164693 	w.x + b = -1.6944676438263904 	0	
104	0	0	Weights- 3.3273841288512354 3.516087675692464 -5.520933728810532 	w.x + b = -5.520933728810532 	0	
105	1	1	Weights- 3.3273841288512354 3.516087675692464 -5.524919885089529 	w.x + b = 1.31855191945417 	1	
106	1	0	Weights- 3.5384434460843224 3.727146992925551 -5.313860567856442 	w.x + b = -1.7754171217721195 	0	
107	0	1	Weights- 3.3935734964009066 3.727146992925551 -5.458730517539858 	w.x + b = -1.7315835246143072 	0	
108	0	0	Weights- 3.3935734964009066 3.576761851282267 -5.609115659183142 	w.x + b = -5.609115659183142 	0	
109	1	1	Weights- 3.3935734964009066 3.576761851282267 -5.612766589471341 	w.x + b = 1.3575687582118325 	1	
110	1	0	Weights- 3.598209223317623 3.7813975781989835 -5.408130862554624 	w.x + b = -1.8099216392370012 	0	
111	0	1	Weights- 3.457561626709945 3.7813975781989835 -5.548778459162302 	w.x + b = -1.767380880963319 	0	
112	0	0	Weights- 3.457561626709945 3.635529233773111 -5.694646803588174 	w.x + b = -5.694646803588174 	0	
113	1	1	Weights- 3.457561626709945 3.635529233773111 -5.697999450630252 	w.x + b = 1.395091409852804 	1	
114	1	0	Weights- 3.6561578127917063 3.834125419854872 -5.499403264548491 	w.x + b = -1.8432454517567844 	0	
115	0	1	Weights- 3.519489902135285 3.834125419854872 -5.636071175204912 	w.x + b = -1.8019457553500402 	0	
116	0	0	Weights- 3.519489902135285 3.692511045452273 -5.777685549607511 	w.x + b = -5.777685549607511 	0	
117	1	1	Weights- 3.519489902135285 3.692511045452273 -5.780771867128228 	w.x + b = 1.43122908045933 	1	
118	1	0	Weights- 3.7123971536310143 3.8854182969480027 -5.5878646156324985 	w.x + b = -1.8754674620014842 	0	
119	0	1	Weights- 3.5794867954278415 3.8854182969480027 -5.720774973835671 	w.x + b = -1.8353566768876686 	0	
120	0	0	Weights- 3.5794867954278415 3.7478169206787184 -5.8583763501049555 	w.x + b = -5.8583763501049555 	0	
121	1	1	Weights- 3.5794867954278415 3.7478169206787184 -5.861224094163084 	w.x + b = 1.466079621943475 	1	
122	1	0	Weights- 3.7670260190017926 3.9353561442526694 -5.673684870589133 	w.x + b = -1.9066588515873404 	0	
123	0	1	Weights- 3.6376693406965686 3.9353561442526694 -5.803041548894357 	w.x + b = -1.8676854046416875 	0	
124	0	0	Weights- 3.6376693406965686 3.8015463765169155 -5.9368513166301105 	w.x + b = -5.9368513166301105 	0	
125	1	1	Weights- 3.6376693406965686 3.8015463765169155 -5.9394846937849906 	w.x + b = 1.4997310234284935 	1	
126	1	0	Weights- 3.8201349848310953 3.984012020651442 -5.757019049650464 	w.x + b = -1.9368840648193686 	0	
127	0	1	Weights- 3.694144410715942 3.984012020651442 -5.883009623765617 	w.x + b = -1.898997603114175 	0	
128	0	0	Weights- 3.694144410715942 3.8537900526775797 -6.01323159173948 	w.x + b = -6.01323159173948 	0	
129	1	1	Weights- 3.694144410715942 3.8537900526775797 -6.015671792961333 	w.x + b = 1.5322626704321882 	1	
130	1	0	Weights- 3.8718072819868055 4.031452923948443 -5.83800892169047 	w.x + b = -1.9662016397036646 	0	
131	0	1	Weights- 3.7490098283472792 4.031452923948443 -5.960806375329996 	w.x + b = -1.9293534513815533 	0	
132	0	0	Weights- 3.7490098283472792 3.9046307634045854 -6.087628535873854 	w.x + b = -6.087628535873854 	0	
133	1	1	Weights- 3.7490098283472792 3.9046307634045854 -6.089894178706122 	w.x + b = 1.5637464130457426 	1	
134	1	0	Weights- 3.9221195465934913 4.077740481650797 -5.91678446045991 	w.x + b = -1.9946649138664188 	0	
135	0	1	Weights- 3.8023553357750917 4.077740481650797 -6.03654867127831 	w.x + b = -1.9588081896275131 	0	
136	0	0	Weights- 3.8023553357750917 3.9541443949764434 -6.160144757952664 	w.x + b = -6.160144757952664 	0	
137	1	1	Weights- 3.8023553357750917 3.9541443949764434 -6.162252254558819 	w.x + b = 1.5942474761927166 	1	
138	1	0	Weights- 3.971142481478826 4.122931540680177 -5.9934651088550845 	w.x + b = -2.0223226273762585 	0	
139	0	1	Weights- 3.854263441733581 4.122931540680177 -6.11034414860033 	w.x + b = -1.9874126079201524 	0	
140	0	0	Weights- 3.854263441733581 4.002400675613678 -6.23087501366683 	w.x + b = -6.23087501366683 	0	
141	1	1	Weights- 3.854263441733581 4.002400675613678 -6.232838878665076 	w.x + b = 1.6238252386821825 	1	
142	1	0	Weights- 4.018941440153464 4.167078674033561 -6.068160880245193 	w.x + b = -2.049219440091729 	0	
143	0	1	Weights- 3.9048101638747603 4.167078674033561 -6.182292156523896 	w.x + b = -2.015213482490336 	0	
144	0	0	Weights- 3.9048101638747603 4.049463839268465 -6.299906991288992 	w.x + b = -6.299906991288992 	0	
145	1	1	Weights- 3.9048101638747603 4.049463839268465 -6.30174010040618 	w.x + b = 1.6525339027370451 	1	
146	1	0	Weights- 4.0655769432701705 4.210230618663875 -6.14097332101077 	w.x + b = -2.0753963777405993 	0	
147	0	1	Weights- 3.9540656808545975 4.210230618663875 -6.252484583426343 	w.x + b = -2.042253964762468 	0	
148	0	0	Weights- 3.9540656808545975 4.095393200633091 -6.367322001457127 	w.x + b = -6.367322001457127 	0	
149	1	1	Weights- 3.9540656808545975 4.095393200633091 -6.3690358098062205 	w.x + b = 1.6804230716814672 	1	
150	1	0	Weights- 4.111105136203026 4.2524326559815195 -6.211996354457792 	w.x + b = -2.100891218254766 	0	
151	0	1	Weights- 4.0020949065301075 4.2524326559815195 -6.321006584130711 	w.x + b = -2.068573928149191 	0	
152	0	0	Weights- 4.0020949065301075 4.1402436554551 -6.43319558465713 	w.x + b = -6.43319558465713 	0	
153	1	1	Weights- 4.0020949065301075 4.1402436554551 -6.4348003117047385 	w.x + b = 1.7075382502804688 	1	
154	1	0	Weights- 4.155578195235716 4.293726944160708 -6.28131702299913 	w.x + b = -2.1257388277634144 	0	
155	0	1	Weights- 4.048957996813809 4.293726944160708 -6.387937221421037 	w.x + b = -2.094210277260329 	0	
156	0	0	Weights- 4.048957996813809 4.184066117679412 -6.497598047902334 	w.x + b = -6.497598047902334 	0	
157	1	1	Weights- 4.048957996813809 4.184066117679412 -6.499102834828418 	w.x + b = 1.733921279664803 	1	
158	1	0	Weights- 4.19904468884109 4.334152809706692 -6.349016142801137 	w.x + b = -2.149971453960047 	0	
159	0	1	Weights- 4.094710798172458 4.334152809706692 -6.453350033469769 	w.x + b = -2.1191972237630763 	0	
160	0	0	Weights- 4.094710798172458 4.226907902894474 -6.560594940281987 	w.x + b = -6.560594940281987 	0	
161	1	1	Weights- 4.094710798172458 4.226907902894474 -6.562007984356455 	w.x + b = 1.7596107167104762 	1	
162	1	0	Weights- 4.241549899659982 4.373747004381998 -6.415168882868931 	w.x + b = -2.173618983208949 	0	
163	0	1	Weights- 4.139405245440531 4.373747004381998 -6.517313537088382 	w.x + b = -2.1435665327063846 	0	
164	0	0	Weights- 4.139405245440531 4.268813065922938 -6.622247475547442 	w.x + b = -6.622247475547442 	0	
165	1	1	Weights- 4.139405245440531 4.268813065922938 -6.62357614529277 	w.x + b = 1.7846421660707001 	1	
166	1	0	Weights- 4.283136112031565 4.412543932513972 -6.4798452787017355 	w.x + b = -2.1967091666701704 	0	
167	0	1	Weights- 4.183089715507342 4.412543932513972 -6.579891675225959 	w.x + b = -2.1673477427119865 	0	
168	0	0	Weights- 4.183089715507342 4.309822699078388 -6.682612908661543 	w.x + b = -6.682612908661543 	0	
169	1	1	Weights- 4.183089715507342 4.309822699078388 -6.683863842887617 	w.x + b = 1.8090485716981126 	1	
170	1	0	Weights- 4.323842869276054 4.450575852847099 -6.5431106891189055 	w.x + b = -2.2192678198428517 	0	
171	0	1	Weights- 4.2258093424973335 4.450575852847099 -6.641144215897626 	w.x + b = -2.1905683630505264 	0	
172	0	0	Weights- 4.2258093424973335 4.349975196540232 -6.741744872204493 	w.x + b = -6.741744872204493 	0	
173	1	1	Weights- 4.2258093424973335 4.349975196540232 -6.742924065453923 	w.x + b = 1.8328604735836427 	1	
174	1	0	Weights- 4.363707204370036 4.4878730584129345 -6.60502620358122 	w.x + b = -2.2413189992111837 	0	
175	0	1	Weights- 4.26760629926839 4.4878730584129345 -6.701127108682866 	w.x + b = -2.2132540502699314 	0	
176	0	0	Weights- 4.26760629926839 4.3893064894270175 -6.799693677668783 	w.x + b = -6.799693677668783 	0	
177	1	1	Weights- 4.26760629926839 4.3893064894270175 -6.800806554169156 	w.x + b = 1.8561062345262522 	1	
178	1	0	Weights- 4.402763847172661 4.524464037331288 -6.665649006264885 	w.x + b = -2.2628851590922237 	0	
179	0	1	Weights- 4.308520049379736 4.524464037331288 -6.7598928040578095 	w.x + b = -2.235428766726521 	0	
180	0	0	Weights- 4.308520049379736 4.427850255433622 -6.856506585955476 	w.x + b = -6.856506585955476 	0	
181	1	1	Weights- 4.308520049379736 4.427850255433622 -6.8575580638172315 	w.x + b = 1.8788122409961279 	1	
182	1	0	Weights- 4.441045410946606 4.560375617000492 -6.7250327022503615 	w.x + b = -2.283987291303755 	0	
183	0	1	Weights- 4.348587573109554 4.560375617000492 -6.817490540087414 	w.x + b = -2.257114923086922 	0	
184	0	0	Weights- 4.348587573109554 4.465638106308884 -6.912228050779023 	w.x + b = -6.912228050779023 	0	
185	1	1	Weights- 4.348587573109554 4.465638106308884 -6.913222597886514 	w.x + b = 1.9010030815319245 	1	
186	1	0	Weights- 4.478582560561426 4.595633093760756 -6.783227610434642 	w.x + b = -2.3046450498732156 	0	
187	0	1	Weights- 4.387843570616642 4.595633093760756 -6.8739666003794255 	w.x + b = -2.2783335066186696 	0	
188	0	0	Weights- 4.387843570616642 4.502699755962573 -6.966899938177608 	w.x + b = -6.966899938177608 	0	
189	1	1	Weights- 4.387843570616642 4.502699755962573 -6.96784162098308 	w.x + b = 1.9227017055961362 	1	
190	1	0	Weights- 4.515404164460279 4.6302603498062105 -6.840281027139443 	w.x + b = -2.3248768626791634 	0	
191	0	1	Weights- 4.426320644926575 4.6302603498062105 -6.929364546673147 	w.x + b = -2.299104196866937 	0	
192	0	0	Weights- 4.426320644926575 4.539063171584945 -7.020561724894413 	w.x + b = -7.020561724894413 	0	
193	1	1	Weights- 4.426320644926575 4.539063171584945 -7.021454251129517 	w.x + b = 1.9439295653820023 	1	
194	1	0	Weights- 4.551537432206983 4.664279958865353 -6.896237463849109 	w.x + b = -2.344700031642126 	0	
195	0	1	Weights- 4.464049467069501 4.664279958865353 -6.983725428986591 	w.x + b = -2.319445470121238 	0	
196	0	0	Weights- 4.464049467069501 4.574754709823113 -7.073250678028831 	w.x + b = -7.073250678028831 	0	
197	1	1	Weights- 4.464049467069501 4.574754709823113 -7.074097434187586 	w.x + b = 1.9647067427050269 	1	
198	1	0	Weights- 4.5870080392025585 4.697713281956171 -6.951138862054529 	w.x + b = -2.364130822851971 	0	
199	0	1	Weights- 4.501058925394554 4.697713281956171 -7.0370879758625335 	w.x + b = -2.339374693906363 	0	
200	0	0	Weights- 4.501058925394554 4.609799239774038 -7.1250020180446665 	w.x + b = -7.1250020180446665 	0	
